ticket_id,opened_at,category,subcategory,assignment_group,priority,short_description,work_notes,close_notes,status,business_unit,location,country,state
INC0002095,2025-01-08 07:41,Hardware,Printing,Desktop Support,2 - High,network printer error 49,Driver mismatch causing prints blank pages. power cycled teh device and printed a test page.,Cleared prints blank pages after power cycled the device. User confirms output is good.,Resolved,Manufacturing,Manchester Office,United Kingdom,England
INC0002031,2025-01-09 05:14,Network,Connectivity,Network Operations,4 - Low,User cannot connect on VPN,User high latency on Wi-Fi. Ran tracert and saw high latency. updated teh wireless driver. ::,"reseated the Ethernet cable; VPN stable, user confirms connection restored.",Closed Complete,Corporate Functions,Toronto Office,Canada,Ontario
INC0002137,2025-01-09 11:04,Hardware,Printing,Desktop Support,3 - Moderate,network printer out of toner ::,Job stuck in the print queue. mapped the printer by IP and released the job successfully.,Cleared prints blank pages after replaced teh toner cartridge. User confirms output is good. ::,Closed,Corporate Functions,Frankfurt DC,Germany,Hesse
INC0002071,2025-01-09 22:28,Security,Identity & Access,Service Desk,4 - Low,REQUEST ROLE FOR NEW STARTER,MFA issue: forgot pwd. verified identity per policy and tested a sign-in.,,Closed,Healthcare Services,San Jose Office,United States,California
INC0002038,2025-01-10 23:02,Hardware,Printing,Desktop Support,2 - High,Replace print queue on network printer,&nbsp;driver mismatch causing error 49. reinstalled the print driver and printed a test page.,cleared streaks on page after cleared the paper jam from the tray. user confirms output is good.,Closed Complete,Retail Banking,New York Office,United States,New York
INC0002112,2025-01-11 23:52,Hardware,Printing,Desktop Support,2 - High,network printer double-sided not working ::,,Cleared offline status after set the correct default printer. User confirms output is good.,Resolved,Manufacturing,New York Office,United States,New York
INC0002033,2025-01-12 13:31,Hardware,Printing,Desktop Support,4 - Low,follow-me printing prints blank pages,User reports streaks on page on teh network printer. Found a toner cartridge fault. re-installed teh print driver.,,Resolved,Logistics & Supply Chain,Sydney Hub,Australia,New South Wales
INC0002116,2025-01-13 13:57,Network,Connectivity,Network Operations,3 - Moderate,cannot reach network drive over VPN,Checked the switch port; found a stale entry. checked the switch port and tested connectivity.,"reseated teh ethernet cable; ethernet stable, user confirms conection restored.",Closed Complete,Corporate Functions,Mumbai Campus,India,Maharashtra
INC0002145,2025-01-14 08:17,Hardware,Printing,Desktop Support,2 - High,prints blank pages on print server<br>,driver mismatch causing out of toner. cleared the paper jam from the tray and printed a test page.,"<div>re-installed the print driver; test page prints clean, double-sided not working resolved.</div>",Closed,Corporate Functions,Mumbai Campus,India,Maharashtra
INC0002029,2025-01-15 07:01,Security,Identity & Access,Service Desk,2 - High,Request pwd for new starter,"<div>user password expired. verified identity, then verified identity per policy in okta.</div>",Granted token and reset the MFA token. Closing per requester confirmation.,Closed,Retail Banking,New York Office,United States,New York
