ticket_id,opened_at,category,subcategory,assignment_group,priority,short_description,work_notes,close_notes,status,business_unit,location,country,state
INC0004123,2025-01-07 12:49,Hardware,Printing,Desktop Support,3 - Moderate,stuck in queue on network printer,Job stuck in the print driver. reinstalled the print driver and released the job successfully.,Cleared offline status after reinstalled the print driver. User confirms output is good.,Resolved,Logistics & Supply Chain,Mumbai Campus,India,Maharashtra
INC0004150,2025-01-07 19:50,Hardware,Printing,Desktop Support,1 - Critical,stuck in queue on Xerox MFP,Driver mismatch causing paper jam. mapped the printer by IP and printed a test page.,"set the correct default printer; test page prints clean, stuck in queue resolved.",Closed,Logistics & Supply Chain,Sydney Hub,Australia,New South Wales
INC0004269,2025-01-08 05:05,Network,Connectivity,Network Operations,4 - Low,Cannot map DNS record,Wireless dropping connection traced to a weak network drive. renewed the DHCP lease.,Resolved no internet after renewed the DHCP lease. Latency back to normal.,Closed,Sales & Marketing,San Jose Office,United States,California
INC0004055,2025-01-08 15:20,Software,Applications,Application Support,1 - Critical,SAP add-in freezes on launch,"License request for Chrome. Verified entitlement, reapplied the license key.",ran the installer as admin; SAP launches without errors.,Closed Complete,Manufacturing,Manchester Office,United Kingdom,England
INC0004217,2025-01-09 04:17,Software,Email & Collaboration,Messaging Support,1 - Critical,User cannot access contact in Outlook,Checked the distribution list permissions in Exchange admin center. reset the autocomplete cache and tested.,Resolved not syncing after cleared the cache. Mailbox syncing normally.,Closed Complete,Sales & Marketing,Mumbai Campus,India,Maharashtra
INC0004003,2025-01-09 08:41,Software,Applications,Application Support,2 - High,the line-of-business app update won't install,"License request for Excel. Verified entitlement, reinstalled the application.",Applied the license and cleared the application cache. Closing ticket.,Closed Complete,Retail Banking,New York Office,United States,New York
INC0004211,2025-01-09 17:59,Hardware,Printing,Desktop Support,3 - Moderate,network printer error 49,Job stuck in the paper tray. power cycled the device and released the job successfully.,Replaced the paper tray and replaced the toner cartridge. Printing restored.,Closed,Healthcare Services,Toronto Office,Canada,Ontario
INC0004084,2025-01-09 23:36,Software,Applications,Application Support,1 - Critical,won't install - Excel,"License request for the line-of-business app. Verified entitlement, ran the installer as admin.",Resolved error on startup after recreated the user profile. User confirms Zoom working.,Resolved,Logistics & Supply Chain,New York Office,United States,New York
INC0004173,2025-01-11 01:57,Software,Applications,Application Support,4 - Low,slow to load - the line-of-business app,slow to load traced to a corrupt plugin. cleared the application cache and tested launch.,disabled the conflicting add-in; Chrome launches without errors.,Closed,Logistics & Supply Chain,San Jose Office,United States,California
INC0004259,2025-01-11 09:02,Network,Connectivity,Network Operations,3 - Moderate,Cannot map connection,Wireless intermittent drops traced to a weak connection. moved the user to a clean access point.,Fixed the IP address. updated the wireless driver and verified the network drive maps.,Closed,Retail Banking,London HQ,United Kingdom,England
INC0004082,2025-01-11 14:28,Hardware,Printing,Desktop Support,4 - Low,paper jam on network printer,Job stuck in the toner cartridge. set the correct default printer and released the job successfully.,Cleared paper jam after replaced the toner cartridge. User confirms output is good.,Resolved,Sales & Marketing,Mumbai Campus,India,Maharashtra
INC0004044,2025-01-12 04:49,Network,Connectivity,Network Operations,4 - Low,DNS cannot connect,Wireless high latency traced to a weak switch port. reconnected the VPN client.,"moved the user to a clean access point; Wi-Fi stable, user confirms connection restored.",Closed Complete,Corporate Functions,Sydney Hub,Australia,New South Wales
INC0004214,2025-01-13 01:50,Network,Connectivity,Network Operations,4 - Low,DNS cannot connect,Checked the DNS record; found a stale entry. renewed the DHCP lease and tested connectivity.,Fixed the DHCP lease. updated the wireless driver and verified the network drive maps.,Closed Complete,Corporate Functions,London HQ,United Kingdom,England
