ticket_id,opened_at,category,subcategory,assignment_group,priority,short_description,work_notes,close_notes,status,business_unit,location,country,state
INC0001064,2025-01-09 17:52,Software,Email & Collaboration,Messaging Support,4 - Low,Request to add member to signature,User reports Exchange duplicate emails. Confirmed mailbox is online. cleared the cache.,"Added user to the meeting invite. Verified mail delivery, closing ticket.",Closed,Logistics & Supply Chain,New York Office,United States,New York
INC0001052,2025-01-10 21:20,Network,Connectivity,Network Operations,4 - Low,cannot reach network drive over VLAN,"VPN authentication failed. Verified credentials, renewed the DHCP lease.",Resolved slow speeds after reset the network adapter. Latency back to normal.,Closed Complete,Logistics & Supply Chain,Dallas Office,United States,Texas
INC0001018,2025-01-13 14:18,Hardware,Printing,Desktop Support,3 - Moderate,Xerox MFP error 49,Job stuck in the default printer. set the correct default printer and released the job successfully.,"set the correct default printer; test page prints clean, offline status resolved.",Closed Complete,Manufacturing,New York Office,United States,New York
INC0001031,2025-01-13 19:26,Security,Identity & Access,Service Desk,3 - Moderate,account locked - VPN portal,MFA issue: forgot password. verified identity per policy and tested a sign-in.,Granted role and granted the requested permission. Closing per requester confirmation.,Closed Complete,Logistics & Supply Chain,Sydney Hub,Australia,New South Wales
INC0001047,2025-01-14 16:56,Software,Email & Collaboration,Messaging Support,3 - Moderate,Exchange keeps crashing for user distribution list,Checked the distribution list permissions in Exchange admin center. verified send-as permissions and tested.,"Added user to the rule. Verified mail delivery, closing ticket.",Resolved,Logistics & Supply Chain,San Jose Office,United States,California
INC0001029,2025-01-18 19:47,Software,Email & Collaboration,Messaging Support,4 - Low,User cannot access mailbox in Outlook Web App,Checked the calendar permissions in Exchange admin center. reset the autocomplete cache and tested.,"Added user to the meeting invite. Verified mail delivery, closing ticket.",Closed,Retail Banking,San Jose Office,United States,California
INC0001038,2025-01-19 23:57,Security,Identity & Access,Service Desk,3 - Moderate,Request account for new starter,New starter needs the password. granted the requested permission per the access request.,Granted permission and unlocked the account. Closing per requester confirmation.,Closed Complete,Healthcare Services,New York Office,United States,New York
INC0001087,2025-01-21 02:52,Hardware,Cross-functional,Desktop Support,4 - Low,Network printer offline after switch maintenance,Printer showing offline. Suspected the DHCP lease. renewed the DHCP lease then replaced the toner cartridge.,"renewed the DHCP lease and replaced the toner cartridge. Printer back online, test page prints.",Closed Complete,Healthcare Services,San Jose Office,United States,California
INC0001016,2025-01-25 04:34,Hardware,Printing,Desktop Support,2 - High,follow-me printing stuck in queue,Job stuck in the print driver. power cycled the device and released the job successfully.,Replaced the print queue and restarted the print server. Printing restored.,Closed,Manufacturing,London HQ,United Kingdom,England
INC0001089,2025-01-25 15:55,Security,Identity & Access,Service Desk,2 - High,Request security group for new starter,New starter needs the role. re-enrolled MFA per the access request.,Resolved access denied after re-enrolled MFA. Access verified.,Resolved,Logistics & Supply Chain,Sydney Hub,Australia,New South Wales
INC0001043,2025-01-27 17:13,Hardware,Printing,Desktop Support,3 - Moderate,Cannot print to follow-me printing - stuck in queue,Inspected the print driver. cleared the paper jam from the tray to clear the double-sided not working.,Replaced the fuser and reinstalled the print driver. Printing restored.,Resolved,Manufacturing,Toronto Office,Canada,Ontario
INC0001014,2025-01-28 03:47,Hardware,Printing,Desktop Support,3 - Moderate,follow-me printing error 49,Driver mismatch causing offline status. replaced the toner cartridge and printed a test page.,Replaced the print driver and power cycled the device. Printing restored.,Resolved,Retail Banking,Manchester Office,United Kingdom,England
INC0001017,2025-01-30 03:33,Network,Connectivity,Network Operations,2 - High,Cannot map switch port,User dropping connection on VLAN. Ran tracert and saw high latency. reseated the Ethernet cable.,Fixed the IP address. reconnected the VPN client and verified the network drive maps.,Closed,Manufacturing,San Jose Office,United States,California
