ticket_id,opened_at,category,subcategory,assignment_group,priority,short_description,work_notes,close_notes,status,business_unit,location,country,state
INC0007018,2025-01-07 04:23,Software,Cross-functional,Application Support,1 - Critical,Outlook add-in for the line-of-business app missing,The calendar add-in disappeared from Outlook. pushed the update via SCCM to restore it.,pushed the update via SCCM; the Outlook add-in loads and emails send. Resolved.,Closed,Manufacturing,London HQ,United Kingdom,England
INC0007122,2025-01-07 05:35,Software,Email & Collaboration,Messaging Support,2 - High,Outlook missing emails,"Mailbox over quota causing missing emails. Archived old items, then cleared the cache.",cleared the cache; user confirms Teams working and emails flowing.,Resolved,Sales & Marketing,Dallas Office,United States,Texas
INC0007219,2025-01-07 06:04,Software,Email & Collaboration,Messaging Support,4 - Low,User cannot access contact in Microsoft 365,User reports Outlook Web App not syncing. Confirmed mailbox is online. checked Exchange mailbox quota.,verified send-as permissions; user confirms Outlook working and emails flowing.,Closed Complete,Sales & Marketing,Frankfurt DC,Germany,Hesse
INC0007149,2025-01-07 06:52,Security,Identity & Access,Service Desk,3 - Moderate,permission missing - MFA,forgot password on the license. synced the account in Active Directory and confirmed login works.,Granted security group and verified identity per policy. Closing per requester confirmation.,Resolved,Retail Banking,Toronto Office,Canada,Ontario
INC0007036,2025-01-07 15:34,Software,Email & Collaboration,Messaging Support,2 - High,Exchange cannot send,"Mailbox over quota causing duplicate emails. Archived old items, then checked Exchange mailbox quota.","Added user to the meeting invite. Verified mail delivery, closing ticket.",Closed Complete,Logistics & Supply Chain,Toronto Office,Canada,Ontario
INC0007056,2025-01-08 03:05,Network,Cross-functional,Network Operations,2 - High,VPN login failing - account and connection both checked,VPN cannot login; suspected the account. granted the requested permission then flushed the DNS cache on the VPN client.,granted the requested permission and flushed the DNS cache. VPN connection authenticates. Closed.,Resolved,Sales & Marketing,San Jose Office,United States,California
INC0007079,2025-01-08 19:12,Software,Applications,Application Support,4 - Low,keeps crashing - Chrome,won't install traced to a corrupt add-in. reinstalled the application and tested launch.,reapplied the license key; the line-of-business app launches without errors.,Closed,Logistics & Supply Chain,Dallas Office,United States,Texas
INC0007071,2025-01-08 19:41,Hardware,Printing,Desktop Support,3 - Moderate,Cannot print to follow-me printing - offline status,Driver mismatch causing error 49. reinstalled the print driver and printed a test page.,"cleared the print spooler; test page prints clean, out of toner resolved.",Closed Complete,Corporate Functions,New York Office,United States,New York
INC0007126,2025-01-09 08:28,Hardware,Printing,Desktop Support,2 - High,Replace paper tray on follow-me printing,User reports offline status on the follow-me printing. Found a print queue fault. set the correct default printer.,"mapped the printer by IP; test page prints clean, error 49 resolved.",Closed,Manufacturing,Mumbai Campus,India,Maharashtra
INC0007113,2025-01-10 12:39,Hardware,Printing,Desktop Support,2 - High,Cannot print to network printer - paper jam,Job stuck in the print queue. restarted the print server and released the job successfully.,Replaced the print driver and mapped the printer by IP. Printing restored.,Closed Complete,Healthcare Services,Sydney Hub,Australia,New South Wales
INC0007170,2025-01-10 16:33,Software,Email & Collaboration,Messaging Support,2 - High,Request to add member to meeting invite,Checked the calendar permissions in Exchange admin center. checked Exchange mailbox quota and tested.,"Added user to the calendar. Verified mail delivery, closing ticket.",Closed Complete,Logistics & Supply Chain,Frankfurt DC,Germany,Hesse
INC0007087,2025-01-11 03:06,Security,Identity & Access,Service Desk,3 - Moderate,permission missing - VPN portal,"User cannot login. Verified identity, then unlocked the account in Okta.",re-enrolled MFA; user confirms login to Active Directory successful.,Closed,Healthcare Services,Mumbai Campus,India,Maharashtra
INC0007199,2025-01-11 20:56,Security,Identity & Access,Service Desk,4 - Low,Request security group for new starter,"User cannot login. Verified identity, then re-enrolled MFA in MFA.",reset the password; user confirms login to Active Directory successful.,Resolved,Manufacturing,London HQ,United Kingdom,England
INC0007044,2025-01-12 14:03,Network,Connectivity,Network Operations,3 - Moderate,Ethernet cannot connect,Wireless dropping connection traced to a weak switch port. reseated the Ethernet cable.,"renewed the DHCP lease; VLAN stable, user confirms connection restored.",Closed,Healthcare Services,Mumbai Campus,India,Maharashtra
